Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
2024,43.0,19,79.0,1.793999999999869,1.0,18.5,22.0,0
2024,43.0,17,158.0,7.5790000000015425,2.0,15.5,25.0,0
2024,27.0,14,22.0,3.2399999999997817,0.0,19.0,19.0,0
2024,27.0,11,79.0,0.554999999998472,0.0,19.0,21.0,0
2024,27.0,8,153.0,8.46600000000035,6.0,12.0,17.0,1
2024,27.0,5,238.0,0.797999999998865,0.0,13.0,13.0,1
2024,27.0,6,285.0,0.5290000000022701,0.0,14.5,18.5,1
2024,83.0,13,22.0,2.951000000000022,0.0,19.0,19.0,0
2024,83.0,6,79.0,2.7999999999992724,0.0,21.5,21.5,1
2024,66.0,16,22.0,1.125999999999749,0.0,19.0,19.0,1
2024,66.0,11,66.0,5.553999999998268,13.0,12.5,23.5,0
2024,66.0,12,79.0,2.3590000000003783,0.0,10.0,23.5,0
2024,66.0,12,159.0,5.083999999998923,0.0,14.5,17.0,0
2024,57.0,4,154.0,0.9599999999991269,5.0,14.0,19.0,1
2024,23.0,15,22.0,0.4030000000002474,0.0,19.0,19.0,0
2024,23.0,7,79.0,2.9580000000005384,0.0,21.5,21.0,1
2024,23.0,8,159.0,4.916999999997643,0.0,16.0,2.5,0
2024,23.0,6,238.0,4.856999999999971,23.0,16.0,29.0,1
2024,23.0,10,285.0,3.743000000002212,0.0,18.5,22.5,0
2024,86.0,17,22.0,4.18100000000004,0.0,19.0,19.0,0
2024,13.0,18,80.0,0.5889999999999418,0.0,22.0,26.5,1
2024,13.0,13,202.0,9.10200000000259,0.0,10.0,10.0,1
2024,13.0,12,285.0,2.695000000006985,0.0,15.0,8.5,0
2024,120.0,19,23.0,7.59900000000016,0.0,18.0,18.0,1
2024,120.0,14,83.0,2.2839999999996508,27.0,20.0,27.0,0
2024,120.0,13,110.0,1.1170000000001892,0.0,24.0,27.5,0
2024,120.0,2,159.0,3.5489999999990687,0.0,15.0,16.0,1
2024,120.0,9,285.0,0.5410000000047148,0.0,12.5,17.5,1
2024,70.0,16,80.0,1.8129999999982829,0.0,22.0,22.5,0
2024,70.0,5,159.0,3.6460000000006403,0.0,17.0,16.0,1
2024,70.0,4,238.0,0.6320000000014261,24.0,14.0,26.0,1
