,Year,Car,Position,Lap,Gap Before Pit,Laps Until Front Car Pit,Stint,Front Car Stint,Passed
136,2024,47.0,4,386.0,1.1860000000015134,0.0,12.0,15.0,1
137,2024,47.0,4,417.0,0.9690000000045984,4.0,27.0,30.0,0
138,2024,23.0,2,19.0,0.3859999999999672,1.0,16.0,16.5,1
139,2024,23.0,11,141.0,4.847000000001572,0.0,10.5,10.5,1
140,2024,23.0,17,173.0,6.902999999998428,0.0,25.5,25.5,1
141,2024,23.0,17,200.0,1.3880000000026484,0.0,23.0,24.5,0
142,2024,23.0,15,246.0,3.324000000000524,0.0,13.0,13.5,0
143,2024,78.0,15,14.0,1.5860000000000127,5.0,13.0,16.0,0
144,2024,70.0,5,19.0,1.1419999999998254,0.0,16.0,16.0,0
145,2024,70.0,9,141.0,0.4799999999995634,0.0,10.5,10.5,1
146,2024,70.0,3,199.0,6.832000000002154,0.0,19.5,21.5,1
147,2024,70.0,6,246.0,1.9599999999991269,0.0,10.5,9.5,1
148,2024,70.0,3,386.0,2.264000000002852,0.0,15.0,7.0,0
149,2024,17.0,7,19.0,8.088000000000193,0.0,16.0,16.0,0
150,2024,17.0,19,199.0,4.639999999999418,0.0,21.0,21.0,1
151,2024,17.0,19,245.0,3.1589999999996508,27.0,11.0,30.0,0
152,2024,21.0,12,51.0,6.581000000000131,1.0,26.5,28.0,0
153,2024,21.0,13,85.0,8.972999999999956,11.0,23.5,32.5,1
154,2024,21.0,6,141.0,4.800999999999476,0.0,13.0,11.5,0
155,2024,21.0,10,174.0,7.50800000000163,0.0,21.0,20.0,0
156,2024,21.0,7,199.0,0.7069999999985157,0.0,22.0,22.0,1
157,2024,21.0,12,246.0,6.765999999999622,0.0,14.0,12.0,0
158,2024,21.0,8,503.0,9.469999999993888,14.0,21.5,30.0,1
159,2024,83.0,15,19.0,2.343000000000302,0.0,16.0,16.0,1
160,2024,83.0,13,141.0,2.630000000001018,0.0,11.0,9.0,0
161,2024,83.0,11,246.0,1.54399999999805,0.0,13.0,11.0,1
162,2024,83.0,11,387.0,5.732000000003609,1.0,9.5,2.5,1
163,2024,43.0,17,19.0,0.7420000000001892,0.0,16.0,16.0,1
164,2024,43.0,12,114.0,2.337999999999738,13.0,16.5,29.5,1
165,2024,43.0,12,141.0,3.966000000000349,0.0,23.0,23.0,1
166,2024,43.0,13,199.0,0.6409999999996217,0.0,21.0,19.0,0
167,2024,43.0,9,246.0,1.4860000000007858,0.0,13.0,12.0,0
168,2024,55.0,12,19.0,0.8899999999998727,0.0,16.0,16.0,1
169,2024,55.0,15,141.0,1.80199999999968,0.0,10.0,12.5,0
170,2024,55.0,8,199.0,2.25800000000163,0.0,21.0,20.0,0
171,2024,55.0,5,246.0,2.097000000001572,0.0,13.5,10.5,0
172,2024,32.0,11,19.0,0.955000000000382,0.0,16.0,16.0,1
173,2024,32.0,4,51.0,0.5090000000000146,1.0,27.0,28.0,0
174,2024,32.0,5,96.0,3.4549999999999272,29.0,9.5,29.5,1
175,2024,32.0,4,141.0,1.1260000000002035,0.0,10.5,17.5,1
176,2024,32.0,3,246.0,3.025999999998021,0.0,13.5,13.5,1
177,2024,32.0,4,274.0,3.831000000005588,5.0,26.5,31.5,1
178,2024,80.0,9,19.0,0.8989999999998872,0.0,16.0,16.0,1
179,2024,80.0,16,90.0,1.8350000000009457,6.0,22.0,6.5,0
180,2024,80.0,17,247.0,0.2349999999969441,0.0,13.5,13.5,1
181,2024,96.0,13,19.0,0.7019999999997708,0.0,16.0,16.0,1
182,2024,96.0,3,141.0,1.1749999999992724,0.0,17.5,14.5,0
183,2024,96.0,4,189.0,1.6660000000010768,10.0,12.0,19.5,0
184,2024,96.0,4,246.0,1.4840000000003783,0.0,14.5,14.5,1
185,2024,96.0,7,361.0,1.5240000000048894,17.0,12.5,29.5,0
186,2024,96.0,7,417.0,1.6869999999980791,3.0,27.0,29.0,0
187,2024,96.0,2,529.0,9.361000000004424,12.0,17.0,29.0,0
188,2024,57.0,14,19.0,0.8930000000000291,0.0,16.0,16.0,0
189,2024,57.0,5,141.0,0.6239999999997963,0.0,11.5,10.5,0
190,2024,57.0,8,174.0,0.2779999999984284,1.0,20.0,29.0,1
191,2024,57.0,5,199.0,5.8400000000001455,0.0,22.5,24.5,1
192,2024,57.0,2,246.0,1.103000000002794,0.0,12.5,12.5,1
193,2024,27.0,18,19.0,3.48700000000008,0.0,16.0,16.0,0
194,2024,120.0,19,19.0,0.5019999999999527,0.0,16.0,16.0,0
195,2024,120.0,15,51.0,9.076000000000022,0.0,27.0,27.0,0
196,2024,120.0,7,141.0,3.5800000000017462,0.0,12.5,13.0,1
197,2024,120.0,9,176.0,7.260000000002037,23.0,20.0,24.5,0
198,2024,120.0,9,199.0,0.9089999999996508,0.0,20.0,21.0,1
199,2024,120.0,10,246.0,2.0560000000004948,0.0,12.0,14.0,1
200,2024,120.0,7,336.0,1.5899999999965075,1.0,27.0,29.0,1
201,2024,120.0,10,411.0,5.09599999999773,8.0,21.0,28.5,0
202,2024,120.0,10,484.0,4.831999999994878,17.0,12.5,28.5,1
203,2024,44.0,20,19.0,0.7390000000000327,0.0,16.0,16.0,0
204,2024,44.0,14,199.0,0.955999999998312,0.0,20.0,21.0,0
205,2024,44.0,14,246.0,0.9689999999973224,0.0,12.0,11.5,0
206,2024,92.0,21,19.0,0.8939999999997781,0.0,16.0,16.0,0
207,2022,96.0,5,82.0,2.97899999999936,0.0,23.5,24.5,0
208,2022,96.0,4,99.0,1.653999999998632,0.0,13.5,13.0,1
209,2022,96.0,4,149.0,3.950000000000728,0.0,20.0,21.0,1
210,2022,96.0,3,163.0,2.4570000000021537,0.0,11.0,11.0,0
211,2022,96.0,7,187.0,1.8179999999993013,0.0,19.5,19.5,1
212,2022,96.0,4,213.0,4.401999999998225,4.0,24.5,28.5,1
213,2022,16.0,13,133.0,5.005000000001019,0.0,16.0,16.0,1
214,2022,16.0,12,167.0,0.694999999999709,6.0,16.5,20.0,1
215,2022,16.0,11,228.0,8.557999999997264,2.0,26.0,27.0,0
