"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"32","GTD","Stevan McAleer","20","1:48.115","42:14.995","Green","Track","25.067","40.913","42.135"
"12","GTD","Richard Heistand","20","1:48.033","42:16.249","Green","Track","25.316","40.768","41.949"
"9","GTDPRO","Mathieu Jaminet","20","1:48.041","42:16.777","Green","Track","25.058","40.957","42.026"
"62","GTDPRO","Davide Rigon","20","1:47.963","42:17.177","Green","Track","25.072","40.823","42.068"
"16","GTD","Zacharie Robichon","20","1:47.697","42:18.807","Green","Track","25.118","40.739","41.840"
"3","GTDPRO","Jordan Taylor","20","1:47.734","42:20.338","Green","Track","25.150","40.706","41.878"
"57","GTD","Russell Ward","20","1:48.759","42:22.941","Green","Track","25.166","41.151","42.442"
"52","LMP2","Ben Keating","22","1:41.636","42:23.727","Green","Track","23.399","38.160","40.077"
"39","GTD","Robert Megennis","20","1:48.727","42:24.044","Green","Track","25.245","40.896","42.586"
"47","GTD","Giorgio Sernagiotto","20","1:48.407","42:24.848","Green","Track","25.167","40.804","42.436"
"59","GTD","Jon Miller","20","1:48.607","42:25.511","Green","Track","25.045","41.022","42.540"
"66","GTD","Till Bechtolsheimer","20","1:48.511","42:25.718","Green","Track","25.191","41.063","42.257"
"79","GTDPRO","Cooper MacNeil","20","1:49.337","42:29.229","Green","Track","25.329","41.430","42.578"
"21","GTD","Luis Perez Companc","20","1:49.319","42:29.732","Green","Track","25.195","41.575","42.549"
"20","LMP2","Dennis Andersen","22","1:39.811","42:30.843","Green","Track","22.648","38.119","39.044"
"18","LMP2","Dwight Merriman","22","1:39.452","42:30.982","Green","Track","22.730","37.838","38.884"
"70","GTD","Brendan Iribe","20","1:48.830","42:31.194","Green","Track","25.306","41.093","42.431"
"44","GTD","John Potter","20","1:49.880","42:35.097","Green","Track","25.384","41.182","43.314"
"99","GTD","Stefan Wilson","20","1:50.135","42:35.678","Green","Track","25.202","42.181","42.752"
"42","GTD","Don Yount","20","1:50.753","42:44.141","Green","Track","25.324","42.161","43.268"
"8","LMP2","John Farano","22","1:40.747","42:51.198","Green","Track","23.577","38.099","39.071"
"29","LMP2","Frits Van Eerd","22","1:40.566","42:52.119","Green","Track","23.244","38.212","39.110"
"81","LMP2","Henrik Hedman","22","1:40.475","42:56.915","Green","Track","23.196","37.997","39.282"
"10","DPi","Filipe Albuquerque","23","1:33.292","43:09.210","Green","Track","21.757","35.042","36.493"
"60","DPi","Tom Blomqvist","23","1:33.473","43:09.958","Green","Track","21.747","34.858","36.868"
"40","LMP3","Nico Varrone","22","1:44.990","43:11.427","Green","Track","24.015","39.871","41.104"
"02","DPi","Earl Bamber","23","1:32.896","43:15.023","Green","Track","21.745","34.877","36.274"
"1","GTD","Erik Johansson","20","2:32.244","43:15.450","Green","Track","66.503","43.002","42.739"
"48","DPi","Kamui Kobayashi","23","1:33.680","43:19.830","Green","Track","21.792","34.945","36.943"
"01","DPi","Sebastien Bourdais","23","1:34.152","43:21.008","Green","Track","21.969","35.659","36.524"
"38","LMP3","Dan Goldburg","22","1:45.060","43:21.958","Green","Track","24.530","39.362","41.168"
"5","DPi","Tristan Vautier","23","1:33.786","43:23.397","Green","Track","21.971","35.325","36.490"
"58","LMP3","Josh Sarchet","22","1:47.986","43:27.142","Green","Track","24.363","42.949","40.674"
"27","GTD","Ian James","20","2:35.460","43:29.866","Green","Track","68.432","44.011","43.017"
"54","LMP3","Jon Bennett","22","1:46.045","43:32.703","Green","Track","24.826","40.282","40.937"
"74","LMP3","Gar Robinson","22","1:45.651","43:36.890","Green","Track","24.349","40.224","41.078"
"30","LMP3","Ari Balogh","22","1:46.852","43:37.779","Green","Track","24.562","41.079","41.211"
"13","LMP3","Orey Fidani","22","1:45.867","43:37.881","Green","Track","24.106","40.817","40.944"
"36","LMP3","Jarett Andretti","22","1:45.763","43:38.240","Green","Track","24.390","40.356","41.017"
"33","LMP3","Lance Willsey","22","1:45.560","43:38.489","Green","Track","24.495","40.249","40.816"
"6","LMP3","Dillon Machavern","22","1:46.106","43:46.201","Green","Track","24.474","40.389","41.243"
"25","GTDPRO","Connor De Phillippi","21","1:47.570","43:58.058","Green","Track","25.160","40.583","41.827"
