"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"1","GTDPRO","Sheldon van der Linde","437","1:46.635","14:38:21.619","Green","Track","25.506","49.768","31.361"
"25","GTP","Connor De Phillippi","470","1:37.640","14:38:25.214","Green","Track","23.959","45.747","27.934"
"40","GTP","Colton Herta","470","1:38.284","14:38:27.535","Green","Track","24.245","46.038","28.001"
"33","LMP2","Nolan Siegel","367","1:43.493","14:38:32.034","Green","Track","24.399","48.787","30.307"
"77","GTDPRO","Seb Priaulx","437","1:49.275","14:38:34.228","Green","Track","25.708","51.251","32.316"
"64","GTDPRO","Mike Rockenfeller","432","1:48.108","14:38:36.966","Green","Track","25.898","50.376","31.834"
"7","GTP","Josef Newgarden","470","1:38.970","14:38:41.356","Green","Track","24.330","46.591","28.049"
"24","GTP","Dries Vanthoor","456","1:38.990","14:38:42.077","Green","Track","24.134","46.440","28.416"
"32","GTD","Kenton Koch","436","1:47.954","14:38:46.182","Green","Track","25.505","50.426","32.023"
"70","GTD","Ollie Millroy","436","1:48.080","14:38:46.590","Green","Track","25.839","50.327","31.914"
"34","GTD","Manny Franco","435","1:48.845","14:38:48.522","Green","Track","25.856","51.121","31.868"
"80","GTD","Rui Pinto de Andrade","436","1:48.965","14:38:49.133","Green","Track","25.816","51.137","32.012"
"85","GTP","Tijmen van der Helm","469","1:37.680","14:38:50.722","Green","Track","23.854","45.532","28.294"
"21","GTD","Kei Cozzolino","436","1:48.060","14:38:51.101","Green","Track","25.762","50.596","31.702"
"023","GTD","Riccardo Agostini","436","1:47.985","14:38:51.710","Green","Track","25.602","50.530","31.853"
"10","GTP","Ricky Taylor","372","1:38.113","14:38:51.793","Green","Track","24.303","45.542","28.268"
"12","GTD","Frankie Montecalvo","436","1:48.688","14:39:04.555","Green","Track","25.872","50.861","31.955"
"99","LMP2","Matt Brabham","457","1:44.225","14:39:04.772","Green","Track","25.722","48.532","29.971"
"18","LMP2","Christian Rasmussen","457","1:41.743","14:39:06.508","Green","Track","24.401","47.564","29.778"
"86","GTD","Larry ten Voorde","427","1:48.978","14:39:07.530","Green","Track","25.712","50.827","32.439"
"8","LMP2","Ferdinand Habsburg-Lothringen","457","2:53.053","14:39:09.293","Green","Track","93.013","49.539","30.501"
"17","GTD","Thomas Merrill","430","1:49.874","14:39:09.458","Green","Track","26.134","51.505","32.235"
"47","GTD","Roberto Lacorte","436","1:49.848","14:39:09.566","Green","Track","26.776","51.087","31.985"
"96","GTD","Jens Klingmann","436","1:47.885","14:39:12.931","Green","Track","25.883","50.293","31.709"
"74","LMP2","Felipe Fraga","457","1:56.348","14:39:16.727","Green","Pit","25.604","48.159","42.585"
"83","GTD","Rahel Frey","436","1:47.963","14:39:18.518","Green","Track","25.858","49.962","32.143"
"65","GTDPRO","Joey Hand","436","1:49.379","14:39:19.843","Green","Track","26.216","50.818","32.345"
"78","GTD","Devlin Defrancesco","383","1:48.690","14:39:20.274","Green","Track","25.657","50.774","32.259"
"2","LMP2","Ben Hanley","457","1:42.486","14:39:25.296","Green","Track","24.630","47.766","30.090"
"81","LMP2","Sebastian Alvarez","455","1:42.677","14:39:30.988","Green","Track","24.242","47.951","30.484"
"19","GTDPRO","Mirko Bortolotti","425","1:48.248","14:39:32.895","Green","Track","25.437","50.339","32.472"
"6","GTP","Kevin Estre","470","1:39.409","14:39:35.466","Green","Track","24.915","45.884","28.610"
"92","GTD","Alec Udell","433","1:50.613","14:39:45.484","Green","Track","26.606","51.416","32.591"
"23","GTDPRO","Alex Riberas","436","1:50.576","14:39:45.622","Green","Track","26.948","51.227","32.401"
"120","GTD","Adam Adelson","436","1:49.381","14:39:51.461","Green","Track","26.045","51.085","32.251"
"3","GTDPRO","Daniel Juncadella","438","1:47.450","14:39:52.366","Green","Track","25.510","50.277","31.663"
"62","GTDPRO","Daniel Serra","438","1:47.264","14:39:52.985","Green","Track","25.668","50.161","31.435"
"31","GTP","Tom Blomqvist","471","1:37.403","14:39:56.945","Green","Track","23.854","45.208","28.341"
"43","GTD","Gabby Chaves","436","1:48.856","14:39:57.472","Green","Track","25.713","50.855","32.288"
"57","GTD","Indy Dontje","437","1:47.419","14:39:57.592","Green","Track","25.496","50.082","31.841"
"52","LMP2","Nick Boulle","457","1:43.338","14:39:59.674","Green","Track","24.518","47.858","30.962"
"9","GTDPRO","James Hinchcliffe","395","1:47.515","14:40:00.716","Green","Track","25.769","50.089","31.657"
"45","GTD","Ashton Harrison","362","1:50.946","14:40:02.349","Green","Track","26.088","51.583","33.275"
"25","GTP","Connor De Phillippi","471","1:37.969","14:40:03.183","Green","Track","24.110","45.661","28.198"
"40","GTP","Colton Herta","471","1:37.599","14:40:05.134","Green","Track","24.140","45.210","28.249"
"4","GTDPRO","Tommy Milner","438","1:47.539","14:40:07.989","Green","Track","25.434","50.221","31.884"
"1","GTDPRO","Sheldon van der Linde","438","1:46.937","14:40:08.556","Green","Track","25.564","49.853","31.520"
"33","LMP2","Nolan Siegel","368","1:43.172","14:40:15.206","Green","Track","24.472","48.603","30.097"
"5","GTP","Neel Jani","470","2:17.076","14:40:16.919","Green","Track","54.238","52.660","30.178"
"7","GTP","Josef Newgarden","471","1:38.417","14:40:19.773","Green","Track","24.209","45.936","28.272"
"24","GTP","Dries Vanthoor","457","1:38.430","14:40:20.507","Green","Track","24.325","45.522","28.583"
"77","GTDPRO","Seb Priaulx","438","1:48.434","14:40:22.662","Green","Track","25.676","50.710","32.048"
"64","GTDPRO","Mike Rockenfeller","433","1:48.110","14:40:25.076","Green","Track","25.628","50.471","32.011"
"85","GTP","Tijmen van der Helm","470","1:39.998","14:40:30.720","Green","Track","24.203","47.134","28.661"
"10","GTP","Ricky Taylor","373","1:40.154","14:40:31.947","Green","Track","24.572","46.766","28.816"
"32","GTD","Kenton Koch","437","1:48.242","14:40:34.424","Green","Track","25.459","50.369","32.414"
"70","GTD","Ollie Millroy","437","1:48.187","14:40:34.777","Green","Track","25.757","50.409","32.021"
"34","GTD","Manny Franco","436","1:49.073","14:40:37.595","Green","Track","25.951","51.231","31.891"
"80","GTD","Rui Pinto de Andrade","437","1:49.428","14:40:38.561","Green","Track","25.777","51.598","32.053"
"21","GTD","Kei Cozzolino","437","1:48.522","14:40:39.623","Green","Track","26.052","50.678","31.792"
"023","GTD","Riccardo Agostini","437","1:48.205","14:40:39.915","Green","Track","25.813","50.661","31.731"
"99","LMP2","Matt Brabham","458","1:41.947","14:40:46.719","Green","Track","24.424","47.623","29.900"
"18","LMP2","Christian Rasmussen","458","1:41.540","14:40:48.048","Green","Track","24.417","47.500","29.623"
"8","LMP2","Ferdinand Habsburg-Lothringen","458","1:42.027","14:40:51.320","Green","Track","24.429","47.753","29.845"
"12","GTD","Frankie Montecalvo","437","1:49.773","14:40:54.328","Green","Track","26.469","51.068","32.236"
"86","GTD","Larry ten Voorde","428","1:49.512","14:40:57.042","Green","Track","25.739","51.465","32.308"
"17","GTD","Thomas Merrill","431","1:49.078","14:40:58.536","Green","Track","26.013","50.836","32.229"
"47","GTD","Roberto Lacorte","437","1:49.052","14:40:58.618","Green","Track","26.259","50.901","31.892"
"96","GTD","Jens Klingmann","437","1:48.083","14:41:01.014","Green","Track","25.932","50.262","31.889"
"04","LMP2","Colin Braun","458","2:55.345","14:41:02.455","Green","Track","96.252","48.820","30.273"
"83","GTD","Rahel Frey","437","1:48.009","14:41:06.527","Green","Track","25.595","50.149","32.265"
"2","LMP2","Ben Hanley","458","1:41.373","14:41:06.669","Green","Track","23.936","47.311","30.126"
"65","GTDPRO","Joey Hand","437","1:49.336","14:41:09.179","Green","Track","25.995","50.766","32.575"
"78","GTD","Devlin Defrancesco","384","1:49.231","14:41:09.505","Green","Track","26.011","50.852","32.368"
"81","LMP2","Sebastian Alvarez","456","1:41.785","14:41:12.773","Green","Track","24.253","47.833","29.699"
"6","GTP","Kevin Estre","471","1:38.883","14:41:14.349","Green","Track","24.641","46.044","28.198"
"19","GTDPRO","Mirko Bortolotti","426","1:47.637","14:41:20.532","Green","Track","25.404","50.338","31.895"
"74","LMP2","Felipe Fraga","458","2:05.750","14:41:22.477","Green","Track","48.025","47.865","29.860"
"31","GTP","Tom Blomqvist","472","1:37.780","14:41:34.725","Green","Track","24.157","45.522","28.101"
"92","GTD","Alec Udell","434","1:50.192","14:41:35.676","Green","Track","26.111","51.401","32.680"
"23","GTDPRO","Alex Riberas","437","1:50.219","14:41:35.841","Green","Track","26.461","51.193","32.565"
"3","GTDPRO","Daniel Juncadella","439","1:47.939","14:41:40.305","Green","Track","25.789","50.253","31.897"
"62","GTDPRO","Daniel Serra","439","1:47.908","14:41:40.893","Green","Track","25.684","50.398","31.826"
"120","GTD","Adam Adelson","437","1:49.620","14:41:41.081","Green","Track","25.992","50.970","32.658"
"25","GTP","Connor De Phillippi","472","1:39.196","14:41:42.379","Green","Track","24.338","45.976","28.882"
"40","GTP","Colton Herta","472","1:38.332","14:41:43.466","Green","Track","24.239","45.696","28.397"
"52","LMP2","Nick Boulle","458","1:44.151","14:41:43.825","Green","Track","24.727","48.963","30.461"
"43","GTD","Gabby Chaves","437","1:48.852","14:41:46.324","Green","Track","25.859","50.786","32.207"
"57","GTD","Indy Dontje","438","1:48.917","14:41:46.509","Green","Track","26.058","50.865","31.994"
"9","GTDPRO","James Hinchcliffe","396","1:48.556","14:41:49.272","Green","Track","26.063","50.724","31.769"
"45","GTD","Ashton Harrison","363","1:51.159","14:41:53.508","Green","Track","26.527","51.605","33.027"
"4","GTDPRO","Tommy Milner","439","1:48.093","14:41:56.082","Green","Track","25.641","50.342","32.110"
"1","GTDPRO","Sheldon van der Linde","439","1:47.542","14:41:56.098","Green","Track","25.859","49.898","31.785"
"5","GTP","Neel Jani","471","1:40.155","14:41:57.074","Green","Track","25.116","46.138","28.901"
"33","LMP2","Nolan Siegel","369","1:42.374","14:41:57.580","Green","Track","24.466","48.041","29.867"
