"Car","Class","Driver","Lap","Lap Time","Session Time","Flag","Location","S01","S02","S03"
"83","GTD","Sarah Bovy","50","2:04.486","1:50:06.027","Green","Track","11.563","78.035","34.888"
"04","LMP2","George Kurtz","50","1:57.697","1:50:07.186","Green","Track","11.159","73.592","32.946"
"18","LMP2","Ryan Dalziel","52","1:58.057","1:50:11.430","Green","Track","10.799","74.279","32.979"
"81","LMP2","Malthe Jakobsen","51","1:58.320","1:50:13.241","Green","Track","10.431","74.671","33.218"
"27","GTD","Ian James","50","2:04.691","1:50:13.532","Green","Track","11.610","77.805","35.276"
"74","LMP2","Gar Robinson","52","2:00.305","1:50:13.635","Green","Track","11.248","75.127","33.930"
"9","GTDPRO","Oliver Jarvis","37","2:03.486","1:50:14.203","Green","Track","11.552","76.903","35.031"
"13","GTD","Orey Fidani","49","2:06.765","1:50:18.444","Green","Track","11.977","79.632","35.156"
"023","GTD","Charles Scardina","50","2:06.185","1:50:18.555","Green","Track","11.709","79.561","34.915"
"52","LMP2","Jakub Smiechowski","52","1:55.417","1:50:22.658","Green","Track","10.371","72.870","32.176"
"8","LMP2","Michael Dinan","52","1:55.609","1:50:23.998","Green","Track","10.649","72.836","32.124"
"11","LMP2","Hunter McElrea","52","1:54.360","1:50:24.215","Green","Track","10.430","72.176","31.754"
"63","GTP","Romain Grosjean","53","1:55.384","1:50:26.279","Green","Track","10.444","73.303","31.637"
"96","GTD","Jake Walker","50","2:58.422","1:50:29.279","Green","Pit","11.629","78.470","88.323"
"20","LMP2","Dennis Andersen","52","1:58.968","1:50:30.438","Green","Track","10.813","74.081","34.074"
"21","GTD","Francois Heriau","50","2:07.307","1:50:31.372","Green","Track","11.996","79.643","35.668"
"43","GTD","Jarett Andretti","50","2:06.970","1:50:31.532","Green","Track","11.820","79.724","35.426"
"77","GTDPRO","Seb Priaulx","50","2:02.729","1:50:36.134","Green","Track","11.603","76.497","34.629"
"86","GTD","Anders Fjordbach","49","2:03.201","1:50:39.446","Green","Track","11.857","76.536","34.808"
"66","GTD","Sheena Monk","50","2:17.784","1:50:41.236","Green","Pit","12.015","79.000","46.769"
"70","GTD","Brendan Iribe","49","2:03.544","1:50:42.102","Green","Track","11.730","77.261","34.553"
"120","GTD","Adam Adelson","50","2:05.746","1:50:47.363","Green","Track","12.905","77.546","35.295"
"14","GTDPRO","Kyle Kirkwood","50","2:02.782","1:50:50.725","Green","Track","11.584","76.854","34.344"
"60","GTDPRO","Matteo Cressoni","50","2:02.900","1:50:52.028","Green","Track","11.693","76.706","34.501"
"80","GTD","Salih Yoluc","50","3:01.340","1:51:09.403","Green","Pit","11.565","77.979","91.796"
"1","GTDPRO","Madison Snow","51","2:02.287","1:51:14.529","Green","Track","11.582","76.501","34.204"
"3","GTDPRO","Alexander Sims","51","2:02.206","1:51:15.231","Green","Track","11.487","76.558","34.161"
"01","GTP","Scott Dixon","54","1:55.210","1:51:17.366","Green","Track","10.441","73.311","31.458"
